"","meanpreda","k","method"
"1",593.461781152747,50,"MED1"
"2",479.219734185475,100,"MED1"
"3",406.608840253328,200,"MED1"
"4",383.032826675059,300,"MED1"
"5",367.780813959921,400,"MED1"
"6",358.634022654054,500,"MED1"
"7",722.258173964604,50,"MED4"
"8",588.304027398746,100,"MED4"
"9",493.211864146031,200,"MED4"
"10",417.186134003881,300,"MED4"
"11",383.653454849683,400,"MED4"
"12",366.449250435525,500,"MED4"
"13",583.580608820797,50,"MaxPro"
"14",476.424833751511,100,"MaxPro"
"15",419.943010540108,200,"MaxPro"
"16",393.684013994864,300,"MaxPro"
"17",381.840460810434,400,"MaxPro"
"18",372.77653902079,500,"MaxPro"
"19",1160.19815705523,50,"DaW"
"20",1081.1416451914,100,"DaW"
"21",994.962166934582,200,"DaW"
"22",927.604485216688,300,"DaW"
"23",891.051331908432,400,"DaW"
"24",865.314000741662,500,"DaW"
"25",671.89312623576,50,"Random"
"26",558.686801152349,100,"Random"
"27",462.148399720006,200,"Random"
"28",419.80808180775,300,"Random"
"29",397.937927662393,400,"Random"
"30",380.568077288865,500,"Random"
